1,Alan Gonzalez,History,2023-Fall,4,24,24,17,157,65,3.75,0,26700
1,Alan Gonzalez,History,2024-Spring,1,24,11,10,31,45,3.48,0,19400
1,Alan Gonzalez,History,2024-Fall,4,30,24,18,102,72,4.78,1,40000
2,Thomas Freeman,History,2023-Fall,1,14,24,9,63,47,4.69,1,29300
2,Thomas Freeman,History,2024-Spring,4,55,13,13,150,81,3.38,0,36600
2,Thomas Freeman,History,2024-Fall,2,47,5,15,157,67,3.19,0,30000
3,Lauren Moore,Mathematics,2023-Fall,4,53,28,15,166,96,4.39,1,52200
3,Lauren Moore,Mathematics,2024-Spring,3,54,23,17,23,94,4.47,1,51300
3,Lauren Moore,Mathematics,2024-Fall,2,15,16,11,49,42,4.64,1,27200
4,Jeffrey Rowe,Computer Science,2023-Fall,4,27,11,13,62,51,4.73,1,31800
4,Jeffrey Rowe,Computer Science,2024-Spring,2,29,16,6,54,51,4.21,1,32700
4,Jeffrey Rowe,Computer Science,2024-Fall,1,46,26,9,93,81,3.36,0,36100
5,Michael Patel,Physics,2023-Fall,3,58,9,9,150,76,3.08,0,35300
5,Michael Patel,Physics,2024-Spring,4,49,18,13,32,80,3.6,0,35600
5,Michael Patel,Physics,2024-Fall,3,37,17,9,82,63,4.97,1,38000
6,Rachel Rivera,Mathematics,2023-Fall,1,42,21,13,196,76,4.46,1,43300
6,Rachel Rivera,Mathematics,2024-Spring,3,31,14,5,63,50,4.95,1,32600
6,Rachel Rivera,Mathematics,2024-Fall,2,28,29,19,152,76,3.5,0,31300
7,Tyler Lawrence,Economics,2023-Fall,3,43,29,9,55,81,3.5,0,35800
7,Tyler Lawrence,Economics,2024-Spring,2,54,23,11,144,88,4.02,0,39500
7,Tyler Lawrence,Economics,2024-Fall,3,25,13,14,67,52,3.58,0,21900
8,Denise Smith,Mathematics,2023-Fall,2,50,29,5,24,84,3.5,0,38100
8,Denise Smith,Mathematics,2024-Spring,2,42,20,8,133,70,4.07,0,31400
8,Denise Smith,Mathematics,2024-Fall,4,41,15,13,75,69,3.59,0,30400
9,Madeline Sullivan,Mathematics,2023-Fall,2,40,19,13,94,72,4.62,1,41500
9,Madeline Sullivan,Mathematics,2024-Spring,2,22,8,9,50,39,3.91,0,16900
9,Madeline Sullivan,Mathematics,2024-Fall,1,16,17,7,180,40,4.59,1,26900
10,William Richardson,Economics,2023-Fall,3,48,23,8,193,79,4.82,1,45600
10,William Richardson,Economics,2024-Spring,2,42,6,16,187,64,3.76,0,28200
10,William Richardson,Economics,2024-Fall,3,48,27,14,128,89,3.26,0,39000
11,Toni Robinson,Computer Science,2023-Fall,3,21,5,11,176,37,3.52,0,15800
11,Toni Robinson,Computer Science,2024-Spring,1,43,5,16,43,64,3.63,0,28300
11,Toni Robinson,Computer Science,2024-Fall,3,60,29,17,98,106,3.32,0,46700
12,Charles Sims,Economics,2023-Fall,3,16,26,12,125,54,4.83,1,32000
12,Charles Sims,Economics,2024-Spring,3,53,12,13,20,78,3.05,0,35200
12,Charles Sims,Economics,2024-Fall,1,16,27,9,180,52,3.7,0,21500
13,Randy Patterson,Physics,2023-Fall,2,36,26,15,130,77,3.34,0,32900
13,Randy Patterson,Physics,2024-Spring,3,23,24,15,173,62,3.95,0,25600
13,Randy Patterson,Physics,2024-Fall,1,55,16,6,49,77,3.66,0,35700
14,Joseph Rojas,Mathematics,2023-Fall,3,46,11,15,118,72,3.37,0,31900
14,Joseph Rojas,Mathematics,2024-Spring,4,13,11,18,49,42,4.2,0,16300
14,Joseph Rojas,Mathematics,2024-Fall,1,58,14,19,198,91,3.33,0,40300
15,Jeffrey Stone,Computer Science,2023-Fall,3,41,10,9,51,60,3.86,0,27200
15,Jeffrey Stone,Computer Science,2024-Spring,4,54,18,9,196,81,4.25,1,46900
15,Jeffrey Stone,Computer Science,2024-Fall,3,34,27,5,121,66,3.95,0,29300
16,Jill Rangel,Mathematics,2023-Fall,1,36,11,8,120,55,3.18,0,24800
16,Jill Rangel,Mathematics,2024-Spring,2,26,7,10,73,43,4.1,0,18800
16,Jill Rangel,Mathematics,2024-Fall,1,12,20,12,113,44,4.75,1,27600
17,Patricia Guerra,Economics,2023-Fall,4,20,6,6,58,32,3.99,0,14200
17,Patricia Guerra,Economics,2024-Spring,4,14,15,14,49,43,4.47,1,27200
17,Patricia Guerra,Economics,2024-Fall,2,58,12,9,103,79,4.99,1,46500
18,Kristen Sampson,History,2023-Fall,4,23,26,17,76,66,3.31,0,27000
18,Kristen Sampson,History,2024-Spring,3,39,15,18,57,72,4.19,0,30900
18,Kristen Sampson,History,2024-Fall,2,44,15,13,77,72,4.81,1,41900
19,Carrie Anderson,Physics,2023-Fall,3,28,23,11,197,62,3.66,0,26500
19,Carrie Anderson,Physics,2024-Spring,1,10,6,20,56,36,4.9,1,23400
19,Carrie Anderson,Physics,2024-Fall,1,49,11,9,69,69,3.29,0,31600
